ID,doi,Tipo,Nivel,Autor,Autores,Publicación / Proyecto,Editorial o Revista,Año,type_work,URL,journal_raw,project_role,XX,numero_autores,posicion_autor,tipo_proyecto,Puntaje,nombre_UAI,nombre_completo,Sinonimos,horas_investigacion,area,orcid,gscholar,name_end,promedio_horas,total_years_carga,year_inicio,Percentil,Reference,Reference_DT,Reference_k
35,NA,artículo WoS,Q1,"Chaigneau, Sergio","Chaigneau, Sergio; Canessa, Enrique; Barra, C.; Lagos, R.",The role of variability in the property listing task,"Behavior Research Methods, Vol. 50, Nº3, pp. 972-988, junio 2018.",2018,ARTICLE,NA,Behavior Research Methods,NA,NA,4,1,NA,105,"CHAIGNEAU ORFANOZ, SERGIO",Sergio E Chaigneau Orfanoz,"Chaigneau, S.; Sergio Chaigneau; Chaigneau, S.E.; Sergio E Chaigneau; Sergio E. Chaigneau; Chaigneau, Sergio E.",180,básica,0000-0001-8642-6325,w-0YGM4AAAAJ,0,202.5,3,2017,NA,"Chaigneau, Sergio; Canessa, Enrique; Barra, C.; Lagos, R. (2018) The role of variability in the property listing task. Behavior Research Methods, Vol. 50, Nº3, pp. 972-988, junio 2018.","<a href="""" target=""_blank"">Chaigneau, Sergio; Canessa, Enrique; Barra, C.; Lagos, R. (2018) The role of variability in the property listing task. Behavior Research Methods, Vol. 50, Nº3, pp. 972-988, junio 2018.</a>","[Chaigneau, Sergio; Canessa, Enrique; Barra, C.; Lagos, R. (2018) The role of variability in the property listing task. Behavior Research Methods, Vol. 50, Nº3, pp. 972-988, junio 2018.]()"
100,NA,artículo WoS,Q1,"Huepe, David","Baez, S.; Herrera, E.; Garcia, A.M.; Huepe, David; Santamaria-Garcia, H.; Ibanez, Agustin",Increased moral condemnation of accidental harm in institutionalized adolescents,"Scientific Reports, Vol. 8, artículo 11609, 2 agosto 2018.",2018,ARTICLE,NA,Scientific Reports,NA,NA,6,4,NA,105,"HUEPE ARTIGAS, DAVID ALEJANDRO",David . Huepe Artigas,"Huepe, D.; David Huepe; Huepe D.",180,básica,0000-0001-8351-5314,6wMud9YAAAAJ,0,187.5,3,2017,NA,"Baez, S.; Herrera, E.; Garcia, A.M.; Huepe, David; Santamaria-Garcia, H.; Ibanez, Agustin (2018) Increased moral condemnation of accidental harm in institutionalized adolescents. Scientific Reports, Vol. 8, artículo 11609, 2 agosto 2018.","<a href="""" target=""_blank"">Baez, S.; Herrera, E.; Garcia, A.M.; Huepe, David; Santamaria-Garcia, H.; Ibanez, Agustin (2018) Increased moral condemnation of accidental harm in institutionalized adolescents. Scientific Reports, Vol. 8, artículo 11609, 2 agosto 2018.</a>","[Baez, S.; Herrera, E.; Garcia, A.M.; Huepe, David; Santamaria-Garcia, H.; Ibanez, Agustin (2018) Increased moral condemnation of accidental harm in institutionalized adolescents. Scientific Reports, Vol. 8, artículo 11609, 2 agosto 2018.]()"
100,NA,artículo WoS,Q1,"Ibanez, Agustin","Baez, S.; Herrera, E.; Garcia, A.M.; Huepe, David; Santamaria-Garcia, H.; Ibanez, Agustin",Increased moral condemnation of accidental harm in institutionalized adolescents,"Scientific Reports, Vol. 8, artículo 11609, 2 agosto 2018.",2018,ARTICLE,NA,Scientific Reports,NA,NA,6,6,NA,105,"IBÁÑEZ , AGUSTÍN",Agustín . Ibáñez Barrasi,"Ibanez, A.; Agustin Ibanez",270,básica,0000-0001-6758-5101,Jp5SxoIAAAAJ,0,270,3,2017,NA,"Baez, S.; Herrera, E.; Garcia, A.M.; Huepe, David; Santamaria-Garcia, H.; Ibanez, Agustin (2018) Increased moral condemnation of accidental harm in institutionalized adolescents. Scientific Reports, Vol. 8, artículo 11609, 2 agosto 2018.","<a href="""" target=""_blank"">Baez, S.; Herrera, E.; Garcia, A.M.; Huepe, David; Santamaria-Garcia, H.; Ibanez, Agustin (2018) Increased moral condemnation of accidental harm in institutionalized adolescents. Scientific Reports, Vol. 8, artículo 11609, 2 agosto 2018.</a>","[Baez, S.; Herrera, E.; Garcia, A.M.; Huepe, David; Santamaria-Garcia, H.; Ibanez, Agustin (2018) Increased moral condemnation of accidental harm in institutionalized adolescents. Scientific Reports, Vol. 8, artículo 11609, 2 agosto 2018.]()"
102,NA,artículo WoS,Q1,"Huepe, David","Parra, M.A.; Baez, S.; Allegri, R.; Nitrini, R.; Lopera, F.; Huepe, David; Ibanez, Agustin",Dementia in Latin America. Assessing the present and envisioning the future,"Neurology, Vol. 90, Nº5, pp. 222-231, 30 enero 2018.",2018,NA,NA,Neurology,NA,NA,7,6,NA,105,"HUEPE ARTIGAS, DAVID ALEJANDRO",David . Huepe Artigas,"Huepe, D.; David Huepe; Huepe D.",180,básica,0000-0001-8351-5314,6wMud9YAAAAJ,0,187.5,3,2017,NA,"Parra, M.A.; Baez, S.; Allegri, R.; Nitrini, R.; Lopera, F.; Huepe, David; Ibanez, Agustin (2018) Dementia in Latin America. Assessing the present and envisioning the future. Neurology, Vol. 90, Nº5, pp. 222-231, 30 enero 2018.","<a href="""" target=""_blank"">Parra, M.A.; Baez, S.; Allegri, R.; Nitrini, R.; Lopera, F.; Huepe, David; Ibanez, Agustin (2018) Dementia in Latin America. Assessing the present and envisioning the future. Neurology, Vol. 90, Nº5, pp. 222-231, 30 enero 2018.</a>","[Parra, M.A.; Baez, S.; Allegri, R.; Nitrini, R.; Lopera, F.; Huepe, David; Ibanez, Agustin (2018) Dementia in Latin America. Assessing the present and envisioning the future. Neurology, Vol. 90, Nº5, pp. 222-231, 30 enero 2018.]()"
102,NA,artículo WoS,Q1,"Ibanez, Agustin","Parra, M.A.; Baez, S.; Allegri, R.; Nitrini, R.; Lopera, F.; Huepe, David; Ibanez, Agustin",Dementia in Latin America. Assessing the present and envisioning the future,"Neurology, Vol. 90, Nº5, pp. 222-231, 30 enero 2018.",2018,NA,NA,Neurology,NA,NA,7,7,NA,105,"IBÁÑEZ , AGUSTÍN",Agustín . Ibáñez Barrasi,"Ibanez, A.; Agustin Ibanez",270,básica,0000-0001-6758-5101,Jp5SxoIAAAAJ,0,270,3,2017,NA,"Parra, M.A.; Baez, S.; Allegri, R.; Nitrini, R.; Lopera, F.; Huepe, David; Ibanez, Agustin (2018) Dementia in Latin America. Assessing the present and envisioning the future. Neurology, Vol. 90, Nº5, pp. 222-231, 30 enero 2018.","<a href="""" target=""_blank"">Parra, M.A.; Baez, S.; Allegri, R.; Nitrini, R.; Lopera, F.; Huepe, David; Ibanez, Agustin (2018) Dementia in Latin America. Assessing the present and envisioning the future. Neurology, Vol. 90, Nº5, pp. 222-231, 30 enero 2018.</a>","[Parra, M.A.; Baez, S.; Allegri, R.; Nitrini, R.; Lopera, F.; Huepe, David; Ibanez, Agustin (2018) Dementia in Latin America. Assessing the present and envisioning the future. Neurology, Vol. 90, Nº5, pp. 222-231, 30 enero 2018.]()"
105,NA,artículo WoS,Q1,"Huepe, David","Huppert, E.; Cowell, J.M.; Cheng, Y.; Contreras, C.; Gomez, N.; Gonzalez, L.M.; Huepe, David",The development of children's preferences for equality and equity across 13 individualistic and collectivist cultures,"Developmental Science, Vol. 22, Nº2, artículo e12729, marzo 2019.",2019,ARTICLE,NA,Developmental Science,NA,NA,7,7,NA,105,"HUEPE ARTIGAS, DAVID ALEJANDRO",David . Huepe Artigas,"Huepe, D.; David Huepe; Huepe D.",180,básica,0000-0001-8351-5314,6wMud9YAAAAJ,0,187.5,3,2017,NA,"Huppert, E.; Cowell, J.M.; Cheng, Y.; Contreras, C.; Gomez, N.; Gonzalez, L.M.; Huepe, David (2019) The development of children's preferences for equality and equity across 13 individualistic and collectivist cultures. Developmental Science, Vol. 22, Nº2, artículo e12729, marzo 2019.","<a href="""" target=""_blank"">Huppert, E.; Cowell, J.M.; Cheng, Y.; Contreras, C.; Gomez, N.; Gonzalez, L.M.; Huepe, David (2019) The development of children's preferences for equality and equity across 13 individualistic and collectivist cultures. Developmental Science, Vol. 22, Nº2, artículo e12729, marzo 2019.</a>","[Huppert, E.; Cowell, J.M.; Cheng, Y.; Contreras, C.; Gomez, N.; Gonzalez, L.M.; Huepe, David (2019) The development of children's preferences for equality and equity across 13 individualistic and collectivist cultures. Developmental Science, Vol. 22, Nº2, artículo e12729, marzo 2019.]()"
112,NA,artículo WoS,Q1,"Ibanez, Agustin","Santamaria-Garcia, H.; Baez, S.; Reyes, P.; Santamaria-Garcia, J.A.; Ibanez, Agustin","A lesion model of envy and Schadenfreude: legal, deservingness and moral dimensions as revealed by neurodegeneration","Brain, Vol. 140, Nº12, pp. 3357-3377, 1 diciembre 2017.",2017,ARTICLE,NA,Brain,NA,NA,5,5,NA,105,"IBÁÑEZ , AGUSTÍN",Agustín . Ibáñez Barrasi,"Ibanez, A.; Agustin Ibanez",270,básica,0000-0001-6758-5101,Jp5SxoIAAAAJ,0,270,3,2017,NA,"Santamaria-Garcia, H.; Baez, S.; Reyes, P.; Santamaria-Garcia, J.A.; Ibanez, Agustin (2017) A lesion model of envy and Schadenfreude: legal, deservingness and moral dimensions as revealed by neurodegeneration. Brain, Vol. 140, Nº12, pp. 3357-3377, 1 diciembre 2017.","<a href="""" target=""_blank"">Santamaria-Garcia, H.; Baez, S.; Reyes, P.; Santamaria-Garcia, J.A.; Ibanez, Agustin (2017) A lesion model of envy and Schadenfreude: legal, deservingness and moral dimensions as revealed by neurodegeneration. Brain, Vol. 140, Nº12, pp. 3357-3377, 1 diciembre 2017.</a>","[Santamaria-Garcia, H.; Baez, S.; Reyes, P.; Santamaria-Garcia, J.A.; Ibanez, Agustin (2017) A lesion model of envy and Schadenfreude: legal, deservingness and moral dimensions as revealed by neurodegeneration. Brain, Vol. 140, Nº12, pp. 3357-3377, 1 diciembre 2017.]()"
114,NA,artículo WoS,Q1,"Ibanez, Agustin","Trevisan, P.; Sedeno, L.; Birba, A.; Ibanez, Agustin; Garcia, A.M.",A moving story: Whole-body motor training selectively improves the appraisal of action meanings in naturalistic narratives,"Scientific Reports, Vol. 7, artículo 12538, 2 octubre 2017.",2017,ARTICLE,NA,Scientific Reports,NA,NA,5,4,NA,105,"IBÁÑEZ , AGUSTÍN",Agustín . Ibáñez Barrasi,"Ibanez, A.; Agustin Ibanez",270,básica,0000-0001-6758-5101,Jp5SxoIAAAAJ,0,270,3,2017,NA,"Trevisan, P.; Sedeno, L.; Birba, A.; Ibanez, Agustin; Garcia, A.M. (2017) A moving story: Whole-body motor training selectively improves the appraisal of action meanings in naturalistic narratives. Scientific Reports, Vol. 7, artículo 12538, 2 octubre 2017.","<a href="""" target=""_blank"">Trevisan, P.; Sedeno, L.; Birba, A.; Ibanez, Agustin; Garcia, A.M. (2017) A moving story: Whole-body motor training selectively improves the appraisal of action meanings in naturalistic narratives. Scientific Reports, Vol. 7, artículo 12538, 2 octubre 2017.</a>","[Trevisan, P.; Sedeno, L.; Birba, A.; Ibanez, Agustin; Garcia, A.M. (2017) A moving story: Whole-body motor training selectively improves the appraisal of action meanings in naturalistic narratives. Scientific Reports, Vol. 7, artículo 12538, 2 octubre 2017.]()"
118,NA,artículo WoS,Q1,"Ibanez, Agustin","Ibanez, Agustin; Couto, B.; Richter, F.; Decety, J.; Lopez, J.","Convergence of interoception, emotion, and social cognition: A twofold fMRI meta-analysis and lesion approach","Cortex, Vol. 88, pp. 124-142, marzo 2017.",2017,ARTICLE,NA,Cortex,NA,NA,5,1,NA,105,"IBÁÑEZ , AGUSTÍN",Agustín . Ibáñez Barrasi,"Ibanez, A.; Agustin Ibanez",270,básica,0000-0001-6758-5101,Jp5SxoIAAAAJ,0,270,3,2017,NA,"Ibanez, Agustin; Couto, B.; Richter, F.; Decety, J.; Lopez, J. (2017) Convergence of interoception, emotion, and social cognition: A twofold fMRI meta-analysis and lesion approach. Cortex, Vol. 88, pp. 124-142, marzo 2017.","<a href="""" target=""_blank"">Ibanez, Agustin; Couto, B.; Richter, F.; Decety, J.; Lopez, J. (2017) Convergence of interoception, emotion, and social cognition: A twofold fMRI meta-analysis and lesion approach. Cortex, Vol. 88, pp. 124-142, marzo 2017.</a>","[Ibanez, Agustin; Couto, B.; Richter, F.; Decety, J.; Lopez, J. (2017) Convergence of interoception, emotion, and social cognition: A twofold fMRI meta-analysis and lesion approach. Cortex, Vol. 88, pp. 124-142, marzo 2017.]()"
119,NA,artículo WoS,Q1,"Ibanez, Agustin","Ibanez, Agustin; Cerasuolo, J.O.; Doocy, S.; Montero, M.; Lip, G.Y.H..; Sposato, L.A.",Decision-making interventions to stop the global atrial fibrillation-related stroke tsunami,"International Journal of Stroke, Vol. 12, Nº3, pp. 222-228, 1 abril 2017.",2017,ARTICLE,NA,International Journal of Stroke,NA,NA,6,1,NA,105,"IBÁÑEZ , AGUSTÍN",Agustín . Ibáñez Barrasi,"Ibanez, A.; Agustin Ibanez",270,básica,0000-0001-6758-5101,Jp5SxoIAAAAJ,0,270,3,2017,NA,"Ibanez, Agustin; Cerasuolo, J.O.; Doocy, S.; Montero, M.; Lip, G.Y.H..; Sposato, L.A. (2017) Decision-making interventions to stop the global atrial fibrillation-related stroke tsunami. International Journal of Stroke, Vol. 12, Nº3, pp. 222-228, 1 abril 2017.","<a href="""" target=""_blank"">Ibanez, Agustin; Cerasuolo, J.O.; Doocy, S.; Montero, M.; Lip, G.Y.H..; Sposato, L.A. (2017) Decision-making interventions to stop the global atrial fibrillation-related stroke tsunami. International Journal of Stroke, Vol. 12, Nº3, pp. 222-228, 1 abril 2017.</a>","[Ibanez, Agustin; Cerasuolo, J.O.; Doocy, S.; Montero, M.; Lip, G.Y.H..; Sposato, L.A. (2017) Decision-making interventions to stop the global atrial fibrillation-related stroke tsunami. International Journal of Stroke, Vol. 12, Nº3, pp. 222-228, 1 abril 2017.]()"
