ID,Sexo,Edad,Condition,VD,VD_t
1,0,26,VI1,98,2398
2,0,33,VI1,15,4893
3,1,37,VI1,7,4099
4,1,19,VI1,59,1792
5,0,29,VI1,65,3280
6,1,34,VI1,43,1350
7,0,21,VI1,8,3405
8,0,35,VI1,93,1014
9,0,23,VI1,81,516
10,1,19,VI1,41,2232
11,0,23,VI1,51,2629
12,1,27,VI1,23,4407
13,0,20,VI1,24,4680
14,0,27,VI1,89,1897
15,1,20,VI1,61,2140
16,1,21,VI1,99,679
17,1,30,VI1,70,4902
18,1,20,VI1,65,4846
19,1,23,VI1,96,4076
20,1,28,VI1,68,863
21,1,23,VI1,67,3368
22,1,32,VI1,78,3311
23,1,28,VI1,25,3558
24,1,25,VI1,72,1917
25,1,28,VI1,53,1974
26,0,21,VI1,83,3305
27,1,22,VI1,68,537
28,0,20,VI1,25,964
29,0,37,VI1,88,4546
30,1,35,VI1,87,1682
1,0,26,VI2,29,2398
2,0,33,VI2,35,4893
3,1,37,VI2,6,4099
4,1,19,VI2,32,1792
5,0,29,VI2,12,3280
6,1,34,VI2,17,1350
7,0,21,VI2,32,3405
8,0,35,VI2,12,1014
9,0,23,VI2,42,516
10,1,19,VI2,42,2232
11,0,23,VI2,45,2629
12,1,27,VI2,40,4407
13,0,20,VI2,41,4680
14,0,27,VI2,9,1897
15,1,20,VI2,1,2140
16,1,21,VI2,3,679
17,1,30,VI2,3,4902
18,1,20,VI2,5,4846
19,1,23,VI2,15,4076
20,1,28,VI2,12,863
21,1,23,VI2,45,3368
22,1,32,VI2,8,3311
23,1,28,VI2,12,3558
24,1,25,VI2,48,1917
25,1,28,VI2,34,1974
26,0,21,VI2,26,3305
27,1,22,VI2,44,537
28,0,20,VI2,2,964
29,0,37,VI2,12,4546
30,1,35,VI2,18,1682
1,0,26,VI3,19,2398
2,0,33,VI3,4,4893
3,1,37,VI3,3,4099
4,1,19,VI3,14,1792
5,0,29,VI3,17,3280
6,1,34,VI3,7,1350
7,0,21,VI3,1,3405
8,0,35,VI3,17,1014
9,0,23,VI3,8,516
10,1,19,VI3,18,2232
11,0,23,VI3,12,2629
12,1,27,VI3,19,4407
13,0,20,VI3,0,4680
14,0,27,VI3,7,1897
15,1,20,VI3,15,2140
16,1,21,VI3,16,679
17,1,30,VI3,3,4902
18,1,20,VI3,13,4846
19,1,23,VI3,5,4076
20,1,28,VI3,5,863
21,1,23,VI3,4,3368
22,1,32,VI3,11,3311
23,1,28,VI3,8,3558
24,1,25,VI3,6,1917
25,1,28,VI3,14,1974
26,0,21,VI3,6,3305
27,1,22,VI3,2,537
28,0,20,VI3,2,964
29,0,37,VI3,11,4546
30,1,35,VI3,5,1682
1,0,26,VI1,98,7432
2,0,33,VI1,15,9918
3,1,37,VI1,7,6518
4,1,19,VI1,59,9476
5,0,29,VI1,65,3438
6,1,34,VI1,43,433
7,0,21,VI1,8,1265
8,0,35,VI1,93,8018
9,0,23,VI1,81,548
10,1,19,VI1,41,6105
11,0,23,VI1,51,6950
12,1,27,VI1,23,3987
13,0,20,VI1,24,192
14,0,27,VI1,89,9155
15,1,20,VI1,61,3305
16,1,21,VI1,99,7278
17,1,30,VI1,70,1229
18,1,20,VI1,65,3906
19,1,23,VI1,96,5883
20,1,28,VI1,68,847
21,1,23,VI1,67,8611
22,1,32,VI1,78,7164
23,1,28,VI1,25,617
24,1,25,VI1,72,2501
25,1,28,VI1,53,582
26,0,21,VI1,83,6470
27,1,22,VI1,68,6455
28,0,20,VI1,25,1484
29,0,37,VI1,88,5188
30,1,35,VI1,87,8256
1,0,26,VI2,29,7432
2,0,33,VI2,35,9918
3,1,37,VI2,6,6518
4,1,19,VI2,32,9476
5,0,29,VI2,12,3438
6,1,34,VI2,17,433
7,0,21,VI2,32,1265
8,0,35,VI2,12,8018
9,0,23,VI2,42,548
10,1,19,VI2,42,6105
11,0,23,VI2,45,6950
12,1,27,VI2,40,3987
13,0,20,VI2,41,192
14,0,27,VI2,9,9155
15,1,20,VI2,1,3305
16,1,21,VI2,3,7278
17,1,30,VI2,3,1229
18,1,20,VI2,5,3906
19,1,23,VI2,15,5883
20,1,28,VI2,12,847
21,1,23,VI2,45,8611
22,1,32,VI2,8,7164
23,1,28,VI2,12,617
24,1,25,VI2,48,2501
25,1,28,VI2,34,582
26,0,21,VI2,26,6470
27,1,22,VI2,44,6455
28,0,20,VI2,2,1484
29,0,37,VI2,12,5188
30,1,35,VI2,18,8256
1,0,26,VI3,19,7432
2,0,33,VI3,4,9918
3,1,37,VI3,3,6518
4,1,19,VI3,14,9476
5,0,29,VI3,17,3438
6,1,34,VI3,7,433
7,0,21,VI3,1,1265
8,0,35,VI3,17,8018
9,0,23,VI3,8,548
10,1,19,VI3,18,6105
11,0,23,VI3,12,6950
12,1,27,VI3,19,3987
13,0,20,VI3,0,192
14,0,27,VI3,7,9155
15,1,20,VI3,15,3305
16,1,21,VI3,16,7278
17,1,30,VI3,3,1229
18,1,20,VI3,13,3906
19,1,23,VI3,5,5883
20,1,28,VI3,5,847
21,1,23,VI3,4,8611
22,1,32,VI3,11,7164
23,1,28,VI3,8,617
24,1,25,VI3,6,2501
25,1,28,VI3,14,582
26,0,21,VI3,6,6470
27,1,22,VI3,2,6455
28,0,20,VI3,2,1484
29,0,37,VI3,11,5188
30,1,35,VI3,5,8256
1,0,26,VI1,98,404
2,0,33,VI1,15,394
3,1,37,VI1,7,304
4,1,19,VI1,59,149
5,0,29,VI1,65,18
6,1,34,VI1,43,168
7,0,21,VI1,8,413
8,0,35,VI1,93,50
9,0,23,VI1,81,491
10,1,19,VI1,41,227
11,0,23,VI1,51,464
12,1,27,VI1,23,141
13,0,20,VI1,24,195
14,0,27,VI1,89,80
15,1,20,VI1,61,168
16,1,21,VI1,99,401
17,1,30,VI1,70,435
18,1,20,VI1,65,13
19,1,23,VI1,96,369
20,1,28,VI1,68,335
21,1,23,VI1,67,295
22,1,32,VI1,78,333
23,1,28,VI1,25,98
24,1,25,VI1,72,310
25,1,28,VI1,53,493
26,0,21,VI1,83,318
27,1,22,VI1,68,88
28,0,20,VI1,25,35
29,0,37,VI1,88,380
30,1,35,VI1,87,405
1,0,26,VI2,29,404
2,0,33,VI2,35,394
3,1,37,VI2,6,304
4,1,19,VI2,32,149
5,0,29,VI2,12,18
6,1,34,VI2,17,168
7,0,21,VI2,32,413
8,0,35,VI2,12,50
9,0,23,VI2,42,491
10,1,19,VI2,42,227
11,0,23,VI2,45,464
12,1,27,VI2,40,141
13,0,20,VI2,41,195
14,0,27,VI2,9,80
15,1,20,VI2,1,168
16,1,21,VI2,3,401
17,1,30,VI2,3,435
18,1,20,VI2,5,13
19,1,23,VI2,15,369
20,1,28,VI2,12,335
21,1,23,VI2,45,295
22,1,32,VI2,8,333
23,1,28,VI2,12,98
24,1,25,VI2,48,310
25,1,28,VI2,34,493
26,0,21,VI2,26,318
27,1,22,VI2,44,88
28,0,20,VI2,2,35
29,0,37,VI2,12,380
30,1,35,VI2,18,405
1,0,26,VI3,19,404
2,0,33,VI3,4,394
3,1,37,VI3,3,304
4,1,19,VI3,14,149
5,0,29,VI3,17,18
6,1,34,VI3,7,168
7,0,21,VI3,1,413
8,0,35,VI3,17,50
9,0,23,VI3,8,491
10,1,19,VI3,18,227
11,0,23,VI3,12,464
12,1,27,VI3,19,141
13,0,20,VI3,0,195
14,0,27,VI3,7,80
15,1,20,VI3,15,168
16,1,21,VI3,16,401
17,1,30,VI3,3,435
18,1,20,VI3,13,13
19,1,23,VI3,5,369
20,1,28,VI3,5,335
21,1,23,VI3,4,295
22,1,32,VI3,11,333
23,1,28,VI3,8,98
24,1,25,VI3,6,310
25,1,28,VI3,14,493
26,0,21,VI3,6,318
27,1,22,VI3,2,88
28,0,20,VI3,2,35
29,0,37,VI3,11,380
30,1,35,VI3,5,405
