ID,StartDate,confirmation_code,FollowUp_1(1),FollowUp_time_1(1),FollowUp_time_2(1),FollowUp_time_3(1),FollowUp_time_4(1),FollowUp_1(2),FollowUp_time_1(2),FollowUp_time_2(2),FollowUp_time_3(2),FollowUp_time_4(2),FollowUp_1(3),FollowUp_time_1(3),FollowUp_time_2(3),FollowUp_time_3(3),FollowUp_time_4(3),FollowUp_1(4),FollowUp_time_1(4),FollowUp_time_2(4),FollowUp_time_3(4),FollowUp_time_4(4),FollowUp_1(5),FollowUp_time_1(5),FollowUp_time_2(5),FollowUp_time_3(5),FollowUp_time_4(5),FollowUp_1(6),FollowUp_time_1(6),FollowUp_time_2(6),FollowUp_time_3(6),FollowUp_time_4(6),FollowUp_1(7),FollowUp_time_1(7),FollowUp_time_2(7),FollowUp_time_3(7),FollowUp_time_4(7),FollowUp_1(8),FollowUp_time_1(8),FollowUp_time_2(8),FollowUp_time_3(8),FollowUp_time_4(8),FollowUp_1(9),FollowUp_time_1(9),FollowUp_time_2(9),FollowUp_time_3(9),FollowUp_time_4(9),FollowUp_1(10),FollowUp_time_1(10),FollowUp_time_2(10),FollowUp_time_3(10),FollowUp_time_4(10),FollowUp_1(11),FollowUp_time_1(11),FollowUp_time_2(11),FollowUp_time_3(11),FollowUp_time_4(11),FollowUp_1(12),FollowUp_time_1(12),FollowUp_time_2(12),FollowUp_time_3(12),FollowUp_time_4(12),FollowUp_1(13),FollowUp_time_1(13),FollowUp_time_2(13),FollowUp_time_3(13),FollowUp_time_4(13),FollowUp_1(14),FollowUp_time_1(14),FollowUp_time_2(14),FollowUp_time_3(14),FollowUp_time_4(14),FollowUp_1(15),FollowUp_time_1(15),FollowUp_time_2(15),FollowUp_time_3(15),FollowUp_time_4(15),FollowUp_1(16),FollowUp_time_1(16),FollowUp_time_2(16),FollowUp_time_3(16),FollowUp_time_4(16),FollowUp_1(17),FollowUp_time_1(17),FollowUp_time_2(17),FollowUp_time_3(17),FollowUp_time_4(17),FollowUp_1(18),FollowUp_time_1(18),FollowUp_time_2(18),FollowUp_time_3(18),FollowUp_time_4(18),FollowUp_1(19),FollowUp_time_1(19),FollowUp_time_2(19),FollowUp_time_3(19),FollowUp_time_4(19),FollowUp_1(20),FollowUp_time_1(20),FollowUp_time_2(20),FollowUp_time_3(20),FollowUp_time_4(20),FollowUp_1(21),FollowUp_time_1(21),FollowUp_time_2(21),FollowUp_time_3(21),FollowUp_time_4(21),FollowUp_1(22),FollowUp_time_1(22),FollowUp_time_2(22),FollowUp_time_3(22),FollowUp_time_4(22),FollowUp_1(23),FollowUp_time_1(23),FollowUp_time_2(23),FollowUp_time_3(23),FollowUp_time_4(23),FollowUp_1(24),FollowUp_time_1(24),FollowUp_time_2(24),FollowUp_time_3(24),FollowUp_time_4(24),FollowUp_1(25),FollowUp_time_1(25),FollowUp_time_2(25),FollowUp_time_3(25),FollowUp_time_4(25),FollowUp_1(26),FollowUp_time_1(26),FollowUp_time_2(26),FollowUp_time_3(26),FollowUp_time_4(26),FollowUp_1(27),FollowUp_time_1(27),FollowUp_time_2(27),FollowUp_time_3(27),FollowUp_time_4(27),FollowUp_1(28),FollowUp_time_1(28),FollowUp_time_2(28),FollowUp_time_3(28),FollowUp_time_4(28),FollowUp_1(29),FollowUp_time_1(29),FollowUp_time_2(29),FollowUp_time_3(29),FollowUp_time_4(29),FollowUp_1(30),FollowUp_time_1(30),FollowUp_time_2(30),FollowUp_time_3(30),FollowUp_time_4(30),FollowUp_1(31),FollowUp_time_1(31),FollowUp_time_2(31),FollowUp_time_3(31),FollowUp_time_4(31),FollowUp_1(32),FollowUp_time_1(32),FollowUp_time_2(32),FollowUp_time_3(32),FollowUp_time_4(32),FollowUp_1(33),FollowUp_time_1(33),FollowUp_time_2(33),FollowUp_time_3(33),FollowUp_time_4(33),FollowUp_1(34),FollowUp_time_1(34),FollowUp_time_2(34),FollowUp_time_3(34),FollowUp_time_4(34),FollowUp_1(35),FollowUp_time_1(35),FollowUp_time_2(35),FollowUp_time_3(35),FollowUp_time_4(35),FollowUp_1(36),FollowUp_time_1(36),FollowUp_time_2(36),FollowUp_time_3(36),FollowUp_time_4(36),FollowUp_1(37),FollowUp_time_1(37),FollowUp_time_2(37),FollowUp_time_3(37),FollowUp_time_4(37),FollowUp_1(38),FollowUp_time_1(38),FollowUp_time_2(38),FollowUp_time_3(38),FollowUp_time_4(38),FollowUp_1(39),FollowUp_time_1(39),FollowUp_time_2(39),FollowUp_time_3(39),FollowUp_time_4(39),FollowUp_1(40),FollowUp_time_1(40),FollowUp_time_2(40),FollowUp_time_3(40),FollowUp_time_4(40),FollowUp_1(41),FollowUp_time_1(41),FollowUp_time_2(41),FollowUp_time_3(41),FollowUp_time_4(41),FollowUp_1(42),FollowUp_time_1(42),FollowUp_time_2(42),FollowUp_time_3(42),FollowUp_time_4(42),FollowUp_1(43),FollowUp_time_1(43),FollowUp_time_2(43),FollowUp_time_3(43),FollowUp_time_4(43),FollowUp_1(44),FollowUp_time_1(44),FollowUp_time_2(44),FollowUp_time_3(44),FollowUp_time_4(44),FollowUp_1(45),FollowUp_time_1(45),FollowUp_time_2(45),FollowUp_time_3(45),FollowUp_time_4(45),FollowUp_1(46),FollowUp_time_1(46),FollowUp_time_2(46),FollowUp_time_3(46),FollowUp_time_4(46),FollowUp_1(47),FollowUp_time_1(47),FollowUp_time_2(47),FollowUp_time_3(47),FollowUp_time_4(47),FollowUp_1(48),FollowUp_time_1(48),FollowUp_time_2(48),FollowUp_time_3(48),FollowUp_time_4(48),FollowUp_1(49),FollowUp_time_1(49),FollowUp_time_2(49),FollowUp_time_3(49),FollowUp_time_4(49),FollowUp_1(50),FollowUp_time_1(50),FollowUp_time_2(50),FollowUp_time_3(50),FollowUp_time_4(50),FollowUp_1(51),FollowUp_time_1(51),FollowUp_time_2(51),FollowUp_time_3(51),FollowUp_time_4(51),FollowUp_1(52),FollowUp_time_1(52),FollowUp_time_2(52),FollowUp_time_3(52),FollowUp_time_4(52),FollowUp_1(53),FollowUp_time_1(53),FollowUp_time_2(53),FollowUp_time_3(53),FollowUp_time_4(53),FollowUp_1(54),FollowUp_time_1(54),FollowUp_time_2(54),FollowUp_time_3(54),FollowUp_time_4(54),FollowUp_1(55),FollowUp_time_1(55),FollowUp_time_2(55),FollowUp_time_3(55),FollowUp_time_4(55),FollowUp_1(56),FollowUp_time_1(56),FollowUp_time_2(56),FollowUp_time_3(56),FollowUp_time_4(56),FollowUp_1(57),FollowUp_time_1(57),FollowUp_time_2(57),FollowUp_time_3(57),FollowUp_time_4(57),FollowUp_1(58),FollowUp_time_1(58),FollowUp_time_2(58),FollowUp_time_3(58),FollowUp_time_4(58),FollowUp_1(59),FollowUp_time_1(59),FollowUp_time_2(59),FollowUp_time_3(59),FollowUp_time_4(59),FollowUp_1(60),FollowUp_time_1(60),FollowUp_time_2(60),FollowUp_time_3(60),FollowUp_time_4(60),FollowUp_1(61),FollowUp_time_1(61),FollowUp_time_2(61),FollowUp_time_3(61),FollowUp_time_4(61),FollowUp_1(62),FollowUp_time_1(62),FollowUp_time_2(62),FollowUp_time_3(62),FollowUp_time_4(62),FollowUp_1(63),FollowUp_time_1(63),FollowUp_time_2(63),FollowUp_time_3(63),FollowUp_time_4(63),FollowUp_1(64),FollowUp_time_1(64),FollowUp_time_2(64),FollowUp_time_3(64),FollowUp_time_4(64),FollowUp_1(65),FollowUp_time_1(65),FollowUp_time_2(65),FollowUp_time_3(65),FollowUp_time_4(65),FollowUp_1(66),FollowUp_time_1(66),FollowUp_time_2(66),FollowUp_time_3(66),FollowUp_time_4(66),FollowUp_1(67),FollowUp_time_1(67),FollowUp_time_2(67),FollowUp_time_3(67),FollowUp_time_4(67),FollowUp_1(68),FollowUp_time_1(68),FollowUp_time_2(68),FollowUp_time_3(68),FollowUp_time_4(68),FollowUp_1(69),FollowUp_time_1(69),FollowUp_time_2(69),FollowUp_time_3(69),FollowUp_time_4(69),FollowUp_1(70),FollowUp_time_1(70),FollowUp_time_2(70),FollowUp_time_3(70),FollowUp_time_4(70),FollowUp_1(71),FollowUp_time_1(71),FollowUp_time_2(71),FollowUp_time_3(71),FollowUp_time_4(71),FollowUp_1(72),FollowUp_time_1(72),FollowUp_time_2(72),FollowUp_time_3(72),FollowUp_time_4(72),why,why_time_1,why_time_2,why_time_3,why_time_4,what_1,what_2,what_3,what_9,what_6,what_7,what_5,what_8,what_15,what_16,what_4,what_4_TEXT,what_time_1,what_time_2,what_time_3,what_time_4
1,2016-09-28 17:06:04,9569105,,,,,,,,,,,67,0.567,0.567,1.27,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,0.22,65.768,68.137,2,,,,,,,,,,,,,,,,
2,2016-09-28 19:18:04,6085785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,1.781,2.8,4.469,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I wanted to evaluate my health,0.728,13.023,14.202,2,,,,,,,,,,,,,,,,
3,2016-09-28 19:18:17,2536004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,4.421,8.876,9.85,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,just felt like it was right.,0.71,0.71,6.346,1,,,,,,,,,,,,,,,,
4,2016-09-28 19:18:04,4340645,,,,,,50,0.944,5.126,5.715,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i thought it would be an okay idea,36.935,36.935,43.124,1,,,,,,,,,,,,,,,,
5,2016-09-28 19:18:33,2609139,,,,,,,,,,,4,4.266,4.266,4.791,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The chances are low to get it.,0.591,0.591,6.493,1,,,,,,,,,,,,,,,,
6,2016-09-28 19:18:37,8713496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,3.027,21.588,24.235,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,There is a possibility of a great reduction in the quality of life,0.668,0.668,16.457,1,,,,,,,,,,,,,,,,
7,2016-09-28 19:18:26,4113829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,35.612,35.612,37.257,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I'd prefer to get a second opinion so I know if I have a good chance of harboring the disease or not,0.826,21.536,27.82,2,,,,,,,,,,,,,,,,
8,2016-09-28 19:18:33,8302156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,33.157,35.428,36.584,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,If there is an 80% chance that I have a possibly fatal disease vs a 1% chance of being injured why wouldn't you?,0.959,0.959,34.127,1,,,,,,,,,,,,,,,,
9,2016-09-28 19:18:43,4725165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,4.817,42.282,43.868,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Only 20% is accurate.  That seems kind of low to me. I'm not sure the point of taking the test.,0.674,0.674,17.868,1,,,,,,,,,,,,,,,,
10,2016-09-28 19:18:45,7780691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,36.27,36.27,38.167,1,"i stand to gain more answers by taking the second test, than what i have to lose",1.356,1.356,28.249,1,,,,,,,,,,,,,,,,
